geo_unit,s1_c0,s2_c0,s2_c1,s3_c0,s3_c1,s3_c2,s4_c0,s4_c1,s4_c2,s4_c3,s5_c0,s5_c1,s5_c2,s5_c3,s5_c4,s6_c0,s6_c1,s6_c2,s6_c3,s6_c4,s6_c5,s7_c0,s7_c1,s7_c2,s7_c3,s7_c4,s7_c5,s7_c6,s8_c0,s8_c1,s8_c2,s8_c3,s8_c4,s8_c5,s8_c6,s8_c7,s9_c0,s9_c1,s9_c2,s9_c3,s9_c4,s9_c5,s9_c6,s9_c7,s9_c8,s10_c0,s10_c1,s10_c2,s10_c3,s10_c4,s10_c5,s10_c6,s10_c7,s10_c8,s10_c9,s11p_c0,s11p_c1,s11p_c2,s11p_c3,s11p_c4,s11p_c5,s11p_c6,s11p_c7,s11p_c8,s11p_c9,s11p_c10
BR00070,22,25,7,27,8,8,28,8,8,7,24,7,7,6,4,18,5,5,4,3,2,12,4,4,3,2,1,1,8,2,2,2,1,1,1,0,5,1,1,1,1,1,0,0,0,3,1,1,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0
BR00071,13,15,4,16,5,5,17,5,5,4,15,4,4,3,3,11,3,3,3,2,1,7,2,2,2,1,1,1,5,1,1,1,1,1,0,0,3,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
BR00072,257,292,86,318,94,95,331,98,98,77,286,84,85,67,49,210,62,63,49,36,25,141,42,42,33,24,17,12,90,26,27,21,15,11,8,5,53,16,16,12,9,6,5,3,2,31,9,9,7,5,4,3,2,1,1,30,9,9,7,5,4,3,2,1,1,1
BR00073,19,22,6,24,7,7,25,7,7,6,21,6,6,5,4,16,5,5,4,3,2,11,3,3,2,2,1,1,7,2,2,2,1,1,1,0,4,1,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0
BR00074,130,148,44,161,47,48,167,49,50,39,144,43,43,34,25,106,31,32,25,18,13,71,21,21,17,12,8,6,45,13,14,11,8,5,4,3,27,8,8,6,5,3,2,2,1,16,5,5,4,3,2,1,1,1,0,15,5,5,4,3,2,1,1,1,0,1
BR00075,22,25,7,28,8,8,29,8,9,7,25,7,7,6,4,18,5,5,4,3,2,12,4,4,3,2,1,1,8,2,2,2,1,1,1,0,5,1,1,1,1,1,0,0,0,3,1,1,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0
BR00076,43,49,14,53,16,16,55,16,16,13,48,14,14,11,8,35,10,10,8,6,4,24,7,7,6,4,3,2,15,4,4,4,3,2,1,1,9,3,3,2,2,1,1,1,0,5,2,2,1,1,1,0,0,0,0,5,1,2,1,1,1,0,0,0,0,0
BR00077,30,34,10,38,11,11,39,12,12,9,34,10,10,8,6,25,7,7,6,4,3,17,5,5,4,3,2,1,11,3,3,2,2,1,1,1,6,2,2,1,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
BR00078,12,14,4,15,5,5,16,5,5,4,14,4,4,3,2,10,3,3,2,2,1,7,2,2,2,1,1,1,4,1,1,1,1,1,0,0,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BR00079,33,38,11,41,12,12,43,13,13,10,37,11,11,9,6,27,8,8,6,5,3,18,5,5,4,3,2,2,12,3,3,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
BR00080,53,61,18,66,20,20,69,20,20,16,59,18,18,14,10,44,13,13,10,7,5,29,9,9,7,5,3,2,19,6,6,4,3,2,2,1,11,3,3,3,2,1,1,1,0,6,2,2,2,1,1,1,0,0,0,6,2,2,1,1,1,1,0,0,0,0
BR00081,17,19,6,21,6,6,22,6,6,5,19,6,6,4,3,14,4,4,3,2,2,9,3,3,2,2,1,1,6,2,2,1,1,1,1,0,4,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
BR00082,14,16,5,17,5,5,18,5,5,4,15,5,5,4,3,11,3,3,3,2,1,8,2,2,2,1,1,1,5,1,1,1,1,1,0,0,3,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
BR00083,8,9,3,9,3,3,10,3,3,2,8,2,3,2,1,6,2,2,1,1,1,4,1,1,1,1,0,0,3,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BR00084,63,72,21,79,23,23,82,24,24,19,71,21,21,16,12,52,15,15,12,9,6,35,10,10,8,6,4,3,22,7,7,5,4,3,2,1,13,4,4,3,2,2,1,1,1,8,2,2,2,1,1,1,0,0,0,7,2,2,2,1,1,1,0,0,0,0
BR00085,6,7,2,8,2,2,8,2,2,2,7,2,2,2,1,5,2,2,1,1,1,4,1,1,1,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BR00086,20,23,7,25,7,7,26,8,8,6,22,7,7,5,4,17,5,5,4,3,2,11,3,3,3,2,1,1,7,2,2,2,1,1,1,0,4,1,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0
BR00087,17,19,6,21,6,6,21,6,6,5,18,5,6,4,3,14,4,4,3,2,2,9,3,3,2,2,1,1,6,2,2,1,1,1,0,0,3,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
BR00088,101,115,34,125,37,37,130,38,39,30,112,33,33,26,19,82,24,25,19,14,10,55,16,16,13,9,7,5,35,10,10,8,6,4,3,2,21,6,6,5,4,2,2,1,1,12,4,4,3,2,1,1,1,1,0,12,4,4,3,2,1,1,1,0,0,0
BR00089,51,58,17,63,19,19,65,19,19,15,57,17,17,13,10,42,12,12,10,7,5,28,8,8,7,5,3,2,18,5,5,4,3,2,2,1,11,3,3,2,2,1,1,1,0,6,2,2,1,1,1,1,0,0,0,6,2,2,1,1,1,1,0,0,0,0
BR00090,49,55,16,60,18,18,63,18,19,15,54,16,16,13,9,40,12,12,9,7,5,27,8,8,6,5,3,2,17,5,5,4,3,2,1,1,10,3,3,2,2,1,1,1,0,6,2,2,1,1,1,0,0,0,0,6,2,2,1,1,1,0,0,0,0,0
BR00091,34,39,11,42,12,13,44,13,13,10,38,11,11,9,6,28,8,8,7,5,3,19,6,6,4,3,2,2,12,4,4,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
BR00092,63,72,21,78,23,23,81,24,24,19,70,21,21,16,12,52,15,15,12,9,6,35,10,10,8,6,4,3,22,7,7,5,4,3,2,1,13,4,4,3,2,2,1,1,1,8,2,2,2,1,1,1,0,0,0,7,2,2,2,1,1,1,0,0,0,0
BR00093,5,6,2,6,2,2,6,2,2,2,6,2,2,1,1,4,1,1,1,1,0,3,1,1,1,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BR00094,35,40,12,43,13,13,45,13,13,10,39,11,12,9,7,29,8,8,7,5,3,19,6,6,4,3,2,2,12,4,4,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
BR00095,36,41,12,45,13,13,47,14,14,11,40,12,12,9,7,30,9,9,7,5,4,20,6,6,5,3,2,2,13,4,4,3,2,2,1,1,8,2,2,2,1,1,1,0,0,4,1,1,1,1,1,0,0,0,0,4,1,1,1,1,1,0,0,0,0,0
BR00096,35,39,12,43,13,13,45,13,13,10,38,11,11,9,7,28,8,8,7,5,3,19,6,6,4,3,2,2,12,4,4,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
BR00097,25,28,8,31,9,9,32,9,10,7,28,8,8,6,5,20,6,6,5,3,2,14,4,4,3,2,2,1,9,3,3,2,1,1,1,1,5,2,2,1,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0
BR00098,37,42,12,46,13,14,48,14,14,11,41,12,12,10,7,30,9,9,7,5,4,20,6,6,5,3,2,2,13,4,4,3,2,2,1,1,8,2,2,2,1,1,1,0,0,4,1,1,1,1,1,0,0,0,0,4,1,1,1,1,1,0,0,0,0,0
BR00099,29,33,10,35,10,11,37,11,11,9,32,9,9,7,5,23,7,7,5,4,3,16,5,5,4,3,2,1,10,3,3,2,2,1,1,1,6,2,2,1,1,1,1,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
BR00100,78,89,26,97,29,29,101,30,30,24,87,26,26,20,15,64,19,19,15,11,8,43,13,13,10,7,5,4,27,8,8,6,5,3,2,2,16,5,5,4,3,2,1,1,1,9,3,3,2,2,1,1,1,0,0,9,3,3,2,2,1,1,1,0,0,0
BR00101,231,262,77,286,84,85,297,88,88,69,256,76,76,60,44,189,56,56,44,32,22,127,37,38,30,22,15,11,81,24,24,19,14,10,7,5,48,14,14,11,8,6,4,3,2,28,8,8,6,5,3,2,2,1,1,27,8,8,6,5,3,2,2,1,1,1
BR00102,65,74,22,80,24,24,84,25,25,20,72,21,21,17,12,53,16,16,12,9,6,36,11,11,8,6,4,3,23,7,7,5,4,3,2,1,13,4,4,3,2,2,1,1,1,8,2,2,2,1,1,1,0,0,0,8,2,2,2,1,1,1,0,0,0,0
BR00103,10,11,3,12,4,4,12,4,4,3,11,3,3,3,2,8,2,2,2,1,1,5,2,2,1,1,1,0,3,1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BR00104,34,39,12,43,13,13,44,13,13,10,38,11,11,9,6,28,8,8,7,5,3,19,6,6,4,3,2,2,12,4,4,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
BR00105,18,21,6,23,7,7,23,7,7,5,20,6,6,5,3,15,4,4,3,3,2,10,3,3,2,2,1,1,6,2,2,1,1,1,1,0,4,1,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0
BR00106,22,26,8,28,8,8,29,9,9,7,25,7,7,6,4,18,5,5,4,3,2,12,4,4,3,2,1,1,8,2,2,2,1,1,1,0,5,1,1,1,1,1,0,0,0,3,1,1,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0
BR00107,31,35,10,38,11,11,40,12,12,9,34,10,10,8,6,25,7,8,6,4,3,17,5,5,4,3,2,1,11,3,3,3,2,1,1,1,6,2,2,1,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
BR00108,26,29,9,32,9,9,33,10,10,8,28,8,8,7,5,21,6,6,5,4,2,14,4,4,3,2,2,1,9,3,3,2,2,1,1,1,5,2,2,1,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
BR00109,269,306,90,333,98,99,347,102,103,81,299,88,89,70,51,220,65,66,51,37,26,148,44,44,35,25,18,13,94,28,28,22,16,11,8,6,56,16,17,13,9,7,5,3,2,32,10,10,8,6,4,3,2,1,1,32,9,9,7,5,4,3,2,1,1,1
BR00110,1446,1645,485,1792,529,533,1863,550,554,435,1608,474,479,376,273,1184,349,352,276,201,141,796,235,237,186,135,95,67,506,149,150,118,86,60,43,30,299,88,89,70,51,36,25,18,13,174,51,52,41,30,21,15,10,7,5,170,50,51,40,29,20,14,10,7,5,6
BR00111,27,31,9,34,10,10,35,10,10,8,30,9,9,7,5,22,7,7,5,4,3,15,4,4,4,3,2,1,10,3,3,2,2,1,1,1,6,2,2,1,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
BR00112,62,71,21,77,23,23,80,24,24,19,69,20,21,16,12,51,15,15,12,9,6,34,10,10,8,6,4,3,22,6,6,5,4,3,2,1,13,4,4,3,2,2,1,1,1,7,2,2,2,1,1,1,0,0,0,7,2,2,2,1,1,1,0,0,0,0
BR00113,27,31,9,34,10,10,35,10,10,8,30,9,9,7,5,22,7,7,5,4,3,15,4,4,3,3,2,1,10,3,3,2,2,1,1,1,6,2,2,1,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
BR00114,65,74,22,80,24,24,83,25,25,19,72,21,21,17,12,53,16,16,12,9,6,36,11,11,8,6,4,3,23,7,7,5,4,3,2,1,13,4,4,3,2,2,1,1,1,8,2,2,2,1,1,1,0,0,0,8,2,2,2,1,1,1,0,0,0,0
BR00115,10,12,3,13,4,4,13,4,4,3,11,3,3,3,2,8,2,2,2,1,1,6,2,2,1,1,1,0,4,1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BR00116,19,21,6,23,7,7,24,7,7,6,21,6,6,5,4,15,5,5,4,3,2,10,3,3,2,2,1,1,7,2,2,2,1,1,1,0,4,1,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0
BR00117,69,78,23,86,25,25,89,26,26,21,77,23,23,18,13,56,17,17,13,10,7,38,11,11,9,6,5,3,24,7,7,6,4,3,2,1,14,4,4,3,2,2,1,1,1,8,2,2,2,1,1,1,0,0,0,8,2,2,2,1,1,1,0,0,0,0
