school,county_borough,evidence,confidence,locality,town_district,notes
"Waipu Cave",Whangarei County,"small_cities: Waipu, Whangarei, 328; cave locality nearby",High,Waipu,,
"Waipu Central",Whangarei County,"small_cities: Waipu, Whangarei, 328",High,Waipu,,
"Waipu North",Whangarei County,"same area as Waipu; Whangarei County",High,Waipu,,
"Waipu Upper",Whangarei County,"same area as Waipu; Whangarei County",High,Waipu,,
"Waipuna",Bay of Islands County,"KG: Waipuna near Kerikeri; Bay of Islands County",Medium,Waipuna,,
"Wairanga",Thames County,"KG: probable Thames/Hauraki area; grade 2",Low,Wairanga,,No direct source
"Wairangi Farm",Unresolved,"Grade 2, 33 students; farm school; no source",Unresolved,,,
"Wairere",Otamatea County,"small_cities: Wairere, Otamatea, 190",High,Wairere,,
"Wairoa South",Franklin County,"KG: Wairoa River near Clevedon = Franklin County",Medium,Wairoa,near Clevedon,
"Waitakaruru",Thames County,"Polling: Thames ED lists Waitakaruru (Pinchess & Bird's Shed)",High,Waitakaruru,Hauraki Plains,
"Waitangi",Bay of Islands County,"KG: Waitangi Treaty Grounds; Bay of Islands County",High,Waitangi,,
"Waitekauri",Ohinemuri County,"KG: Waitekauri near Waihi goldfields; Ohinemuri County",Medium,Waitekauri,,SC entry shows Waitomo — likely error; Waitekauri goldmines confirm Ohinemuri
"Waitetuna",Raglan County,"KG: Waitetuna near Raglan; Raglan County",Medium,Waitetuna,,
"Waitoa",Piako County,"small_cities: Waitoa, Piako, 454",High,Waitoa,,
"Waitomo Valley Road (12) and Te Rau Mauku (13)",Waitomo County,"KG: Waitomo Valley; Waitomo County",High,Waitomo Valley,,Te Rau Mauku is half-time
"Waituhi",West Taupo County,"small_cities: Waituhi, West Taupo, 169",High,Waituhi,,
"Waiuku",Franklin County,"KG: Waiuku in Franklin County",High,Waiuku,,Not in CB
"Waiwera",Waitemata County,"small_cities: Waiwera, Waitemata, 213",High,Waiwera,,
"Waiwhiu",Unresolved,"Grade 1, 11 students; no source",Unresolved,,,
"Walton",Piako County,"small_cities: Walton, Piako, 320",High,Walton,,
"Wardville",Piako County,"KG: Wardville near Morrinsville; Piako County",Low,Wardville,,No direct source
"Warkworth",Rodney County,"KG: Warkworth in Rodney County; not in CB",High,Warkworth,,
"Wayby",Rodney County,"KG: Wayby near Wellsford; Rodney County",Medium,Wayby,,
"Wellsford",Rodney County,"small_cities: Wellsford, Rodney, 153",High,Wellsford,,
"Weymouth",Franklin County,"Polling: Franklin ED lists Weymouth (Post Town Manurewa)",Medium,Weymouth,,
"Whakamarama",Tauranga County,"Polling: Tauranga ED lists Whakamarama",High,Whakamarama,,
"Whakapara",Whangarei County,"small_cities: Whakapara, Whangarei, 153",High,Whakapara,,
"Whakatane",Whakatane Borough,"coordinates_boroughs.csv: Whakatane Borough",High,Whakatane,,
"Whananaki",Whangarei County,"KG: Whananaki near Ngunguru; Whangarei County",High,Whananaki,,
"Whangae",Unresolved,"Grade 1, 11 students; no source",Unresolved,,,
"Whangaparoa",Rodney County,"small_cities: Whangaripo, Rodney, 148 (adjacent); Whangaparoa Peninsula = Rodney County",Medium,Whangaparoa Peninsula,,
"Whangarata",Franklin County,"small_cities: Whangarata, Franklin, 169",High,Whangarata,,
"Whangarei",Whangarei Borough,"coordinates_boroughs.csv: Whangarei Borough",High,Whangarei,,
"Whangarei Heads (42) and side school (14)",Whangarei County,"KG: Whangarei Heads outside Borough; Whangarei County",High,Whangarei Heads,,
"Whangaripo",Rodney County,"small_cities: Whangaripo, Rodney, 148",High,Whangaripo,,
"Whangaroa North",Whangaroa County,"Polling: Bay of Islands ED lists Whangaroa (Courthouse)",High,Whangaroa,,
"Wharehine",Hokianga County,"KG: Wharehine near Rawene; Hokianga County",Medium,Wharehine,,
"Wharepoa",Thames County,"small_cities: Wharepoa, Thames, 241",High,Wharepoa,,
"Whatawhata",Waipa County,"small_cities: Whatawhata, Waipa, 278",High,Whatawhata,,
"Whawharua",Unresolved,"Grade 2, 26 students; no source",Unresolved,,,
"Whitford No.1",Manukau County,"small_cities: Whitford, Manukau, 265",High,Whitford,,
"Whitford No.2",Manukau County,"small_cities: Whitford, Manukau, 265",High,Whitford,,
"Woodhill",Waitemata County,"small_cities: Woodhill, Waitemata, 103",High,Woodhill,,
"Young's Point",Unresolved,"Grade 1, 12 students; no source",Unresolved,,,
"Normal District High School and five model schools at training college - Normal Primary (353) Model Schools etc.",Auckland Borough,"KG: Normal School at Auckland Training College; Auckland city",High,Auckland city,,
